Key Items,Instructions,Definitions
Effective Date,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Effective Date from the text in this format:
<example>
Text:
```
December 14, 2022...
```
Data retrieved:
December 14, 2022</example>


<example>
Text:
```
This Agreement is effective when fully executed by the Parties (the ""Effective Date"")....
```
Data retrieved:
December 14, 2022</example>


<example>
Text:
```
3- The Agreement is effective when fully executed by the Parties. i.e.February 10, 2021...
```
Data retrieved:
February 10, 2021</example>

",The date in which the agreement is deemed effective
Term,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Term from the text in this format:
<example>
Text:
```
""III.  (a)	The Construction Period commences on the Effective Date and ends on the Commercial Operation Date. Customer/Project Sponsor shall provide notice to the Company a minimum often (10) Business...
```
Data retrieved:
construction period - 24 months; Delivery period 20 years</example>


<example>
Text:
```
III.  (a)	The Construction Period commences on the Effective Date and ends on the Commercial Operation Date. Customer/Project Sponsor shall provide notice to the Company a minimum often (10) Business ...
```
Data retrieved:
construction period - 24 months; Delivery period 20 years</example>


<example>
Text:
```
3- This Agreement has two periods that together comprise the Term of the Agreement. 
3(a)- Construction Period commences on  the Effective Date and ends on Commercial Operation Date. Construction Per...
```
Data retrieved:
20th anniversary of the Commercial Operation Date</example>

",Period of time that agreement is in place and enforceable
Offtaker,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Offtaker from the text in this format:
<example>
Text:
```
This AGREEMENT is dated February 10, 2021, and is between Central Maine Power Company (the ""Company"") a Maine corporation having its office and principal place of business in Augusta Maine, and Projec...
```
Data retrieved:
Customers of PWH Properties, LLC</example>


<example>
Text:
```
Sheridan Road Solar Farm, LLC...
```
Data retrieved:
Customers of Sheridan Road Solar Farm, LLC</example>


<example>
Text:
```
Skyway Avenue Solar Farm, LLC...
```
Data retrieved:
Customers of Skyway Avenue Solar Farm, LLC</example>

",Offtaker is a term used for the customers who will be using/purchasing the power generated by the solar facility
Provider,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Provider from the text in this format:
<example>
Text:
```
Solops, LLC, a New Jersey limited liability company with offices at 9 Creamery Road, Hamilton, NJ 08620 (“Seller"")...
```
Data retrieved:
Solops, LLC</example>


<example>
Text:
```
Versant Power...
```
Data retrieved:
Versant Power</example>


<example>
Text:
```
This AGREEMENT is dated February 10, 2021, and is between Central Maine Power Company (the ""Company"") a Maine corporation having its office and principal place of business in Augusta Maine, and Projec...
```
Data retrieved:
Central Maine Power</example>

",Person selling the power
Power Purchase Agreement Rate,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Power Purchase Agreement Rate from the text in this format:
<example>
Text:
```
Electric Delivery Rate Schedules and Terms and Conditions on file with the Maine Public Utilities Commission...
```
Data retrieved:
Electric Delivery Rate Schedules and Terms and Conditions on file with the Maine Public Utilities Commission</example>


<example>
Text:
```
1. Shall-equal to $0.114-per-kilowatt-hour-in-year-1-or-$0.12-per-kilowatt-if-the-SEF-is-only- approved-for-10-years-of-SRECs.
	$0.1259
12¤	$0.1272¤
13x	$0.1285x
14	$0.1297
15x	$0.1310
16x	$0.13...
```
Data retrieved:
$0.114 per kilowatt hour in year 1 or $0.12 per kilowatt if the SEF is only approved for 10 years of SRECs (Annex A)</example>

",Rare being paid for the power produced at the site.
Power Purchase Agreement End Date,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Power Purchase Agreement End Date from the text in this format:
<example>
Text:
```
20th Anniversay of Commercial Operation Date...
```
Data retrieved:
20th Anniversary of Commercial Operation Date</example>


<example>
Text:
```
2.1 Term. \nThe initial term of this PPA (the ""Term"") shall commence on the Effective Date and shall be in effect until the twenty-fifth (25th) anniversary of the Commercial Operation Date. The Term m...
```
Data retrieved:
25 years from Commercial Operation Date</example>


<example>
Text:
```
20th Anniverary of the Commercial Operation Date...
```
Data retrieved:
20th Anniverary of the Commercial Operation Date</example>

",The date that the PPA expires
Renewal Terms,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Renewal Terms from the text in this format:
<example>
Text:
```
2.1 The Term may upon the mutual agreement in writing of the Parties, be extended for two (2) successive, additional terms of five (5) years each on the terms and conditions of this PPA....
```
Data retrieved:
2 renewals at 5 years each</example>

",The terms under which the PPA can be extended/renewed past the initial term
Commercial Operation Date Definition,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Commercial Operation Date Definition from the text in this format:
<example>
Text:
```
date that the Facility is deemed by PGE to be fully operational and reliable...
```
Data retrieved:
1.5</example>


<example>
Text:
```
""Commercial Operation Date"" means the date on which the Project is commercially operational, placed into service, and interconnection operations have commenced. The Commercial Operation Date cannot be...
```
Data retrieved:
Date Project is commercially operational</example>


<example>
Text:
```
Commercial Operation Date means the date on which the Project is commercially operational, placed into service, and interconnection operations have commenced. The Commercial Operation Date cannot be b...
```
Data retrieved:
Date Project is commercially operational</example>

","How is COD defined? It should be the date that the project is connected to the gird and able to sell power, but we want to document the way it is listed in the agreement. This is a defined term."
Commercial Operation Date,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Commercial Operation Date from the text in this format:
<example>
Text:
```
2.2.2 By December 1, 2019 Seller shall have completed all requirements under Section 1.5 and shall have established the Commercial Operation Date....
```
Data retrieved:
December 1, 2019</example>

",The date on which the project is able to begin producing power and pushing it to the grid and/or billing
Mechanical Completion Date,"Retrieve Mechanical Completion Date from the text.
Definitions: Mechanical Completion Date - Date on which the contractor ensures to have completed the construction of th Facility such that the Facility is ready for continuous operation to the extent permissible and possible prior to interconnection, pending only the interconnection and synchronization of the Facility with Utility’s distribution system.
","Date on which the contractor ensures to have completed the construction of th Facility such that the Facility is ready for continuous operation to the extent permissible and possible prior to interconnection, pending only the interconnection and synchronization of the Facility with Utility’s distribution system"
