Key Items,Instructions,Definitions
Effective Date,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Effective Date from the text in this format:
<example>
Text:
```
3/12/2021 (""Effective Date"")...
```
Data retrieved:
March 12, 2021</example>


<example>
Text:
```
This Maintenance Services Agreement (this “Agreement”) is dated as of June 28, 2021 (the “Effective Date”)....
```
Data retrieved:
June 28, 2021</example>


<example>
Text:
```
as of October 19, 2023 (the “Effective Date”...
```
Data retrieved:
October 19, 2023</example>

",The date when the agreement officially takes effect and becomes enforceable.
Provider,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Provider from the text in this format:
<example>
Text:
```
Bullrock Solar, LLC, a Vermont
limited liability company (“Operator”)...
```
Data retrieved:
Bullrock Solar, LLC</example>


<example>
Text:
```
hep Petra O&M LLC, a North Carolina limited liability company...
```
Data retrieved:
hep Petra O&M LLC</example>


<example>
Text:
```
Borrego Solar Systems, Inc., a California corporation (""Contractor"")...
```
Data retrieved:
Borrego Solar Systems, Inc.</example>

",The company or individual providing maintenance and operational services for the solar facility.
Customer,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Customer from the text in this format:
<example>
Text:
```
Canton GLC Solar,
LLC, a Maine limited liability company (Owner"")""...
```
Data retrieved:
Canton GLC Solar, LLC</example>


<example>
Text:
```
SUNVESTMENT ENERGY GROUP NY 64 LLC (“Beneficial Owner/Operator”), having the mailing address of 4700 Pottsville Pike, Reading,
PA 19605...
```
Data retrieved:
Sunvestment Energy Group NY 64 LLC</example>


<example>
Text:
```
Emerald Kemble, LLC, a New Jersey limited liability company...
```
Data retrieved:
Emerald Kemble,
LLC</example>

","The entity, typically the solar facility owner, receiving the services outlined in the agreement."
Commencement Date,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Commencement Date from the text in this format:
<example>
Text:
```
Agreement shall commence on the date on which Owner provides written notice of commencement (the “System Commencement Date”)...
```
Data retrieved:
System Commencement Date</example>


<example>
Text:
```
1.1 - This Agreement shall commence with respect to the Project on the date (“Commencement Date”) on which Company delivers notice to Provider that the Project is first placed into commercial operatio...
```
Data retrieved:
When Company delivers notice to Provider that the Project is first placed into commercial operation and selling usable energy to JCP&L.</example>


<example>
Text:
```
Note: The Maintenance Fee will escalate at a rate of 3.0% per year beginning at the first anniversary of the Services Commencement Date.
Services Commencement Date
The Services Commencement Date is:...
```
Data retrieved:
Exhibit C [Not mentioned]</example>

",The specific start date when the provider is expected to begin delivering the services.
Utility Company,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Utility Company from the text in this format:
<example>
Text:
```
JCP&L (the “Utility”)...
```
Data retrieved:
JCP&L</example>

",The regulated entity that provides utility service to the location where the solar facility is connected.
Term,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Term from the text in this format:
<example>
Text:
```
3.1.1 - five (5) years from the services commencement date unless terminated in accordance with its terms. This Agreement will be subject to an automatic extension for consecutive one (1) year periods...
```
Data retrieved:
5 years with an automatic extension for consecutive one (1) year periods
thereafter</example>


<example>
Text:
```
1.1 - the initial term of the Agreement shall be for five (5) years beginning on the Commencement Date, or until the Agreement is terminated in accordance with the provisions of this Agreement....
```
Data retrieved:
5 years beginning on the Commencement Date</example>


<example>
Text:
```
1.1 -  the initial term of the Agreement shall be for five (5) years beginning on the Commencement Date, or until the Agreement is terminated in accordance with the provisions of this Agreement (the “...
```
Data retrieved:
5 years beginning on the Commencement Date and may be extended for additional 5 year period on mutual agreement.</example>

","The duration of the agreement, usually specified in months or years."
Renewal,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Renewal from the text in this format:
<example>
Text:
```
Thereafter, unless either Party shall have otherwise terminated this Agreement, the Term shall automatically be extended annually for one (1) additional year at each anniversary of the System Commence...
```
Data retrieved:
auto renews annually unless terminated</example>


<example>
Text:
```
1.1 -  At the end of the Term, the Term may be extended upon mutual written agreement of the Parties for one or more additional five (5) year periods, or as may otherwise be agreed....
```
Data retrieved:
May be extended for additional 5 year periods on mutual agreement.</example>


<example>
Text:
```
, the Term shall automatically be extended annually for one (1) additional year at each anniversary of each System Commencement Date...
```
Data retrieved:
1 year automatic renewals</example>

","The option to extend the agreement's term beyond the initial period, under pre-defined conditions."
Maintenance Service Fee,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Maintenance Service Fee from the text in this format:
<example>
Text:
```
1.3 - Company shall compensate Provider for the Maintenance Services at the annual rate for the Project set forth on Schedule 2...
```
Data retrieved:
$6,500/MWdc/year</example>


<example>
Text:
```
1.3 Customer shall compensate Provider for the Maintenance Services at the annual rate for the Project set forth on Schedule 2 ....
```
Data retrieved:
$7,000/MWdc/year</example>


<example>
Text:
```
""Exhibit C. Quarterly O&M FEE

a.	Maintenance Scope of Services Quarterly O&M Fee: $1.875 for single axis tracker/$1.625 for fixed tilt""...
```
Data retrieved:
Quarterly $1.875 for single axis tracker/ $1.625 for fixed tilt</example>

",The fee charged by the provider for carrying out maintenance and operational tasks.
Escalator,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Escalator from the text in this format:
<example>
Text:
```
1.3 - following the first anniversary of the Commencement Date and each consecutive anniversary thereafter, the Maintenance Services Fee for the successive year shall be increased by 2.0% of the Maint...
```
Data retrieved:
2% annually</example>


<example>
Text:
```
""Exhibit C
b.	Annual Increases: The Quarterly O&M Fee shall increase by 2 percent (2%), effective on the first day of the calendar quarter at each anniversary of the System Commencement Date during t...
```
Data retrieved:
2% annually</example>


<example>
Text:
```
1.3 - On the first calendar day of the month following the first anniversary of the Commencement Date and each consecutive anniversary thereafter, the Maintenance Services Fee for the successive year ...
```
Data retrieved:
2%</example>

","An annual increase in the maintenance service fee, usually a percentage, to account for inflation or increased costs."
Payment Terms,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Payment Terms from the text in this format:
<example>
Text:
```
8e.	Full payment on all invoices is due within thirty (30) calendar days of Owner’s receipt of the invoice (the “Due Date”). A finance charge of the lesser of (i) 1.00% per month (12% per annum) or (i...
```
Data retrieved:
within 30 days of receipt of invoice or finance charge of 1%/month or 12%/year</example>


<example>
Text:
```
The Maintenance Services Fee for the Project shall be invoiced quarterly, on the first calendar day of the quarter, and the payment of which shall be due thirty (30) days after such invoice date....
```
Data retrieved:
payment due in 30 days after invoice date.</example>


<example>
Text:
```
8. d.	Full payment on all invoices is due within thirty (30) calendar days of Owner’s receipt of the invoice (the “Due Date”). A finance charge of the lesser of (i) 1.50% per month (18% per annum) or ...
```
Data retrieved:
Within 30 days of Owner's receipt; finance fees of 1.5%/month or 18%/year</example>

",The agreed-upon schedule and method of payments from the customer to the provider.
