Key Items,Instructions,use_pvsyst_prompt,unit,old_names
Author,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Author from the text in this format.
Examples of data and format:
<example of format 0>
StraightUp Solar
</example of format 0>


<example of format 1>
Westwood Professional Services
</example of format 1>

Retrieve Author from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Author retrieved from the text in specified format:",0,,Author
System Type,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve System Type from the text in this format.
Examples of data and format:
<example of format 0>
Building system
</example of format 0>


<example of format 1>
Sheds on ground
</example of format 1>


<example of format 2>
Single Axis Tracker
</example of format 2>

Retrieve System Type from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
System Type retrieved from the text in specified format:",0,,System Type
Module Model,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Module Model from the text in this format.
Examples of data and format:
<example of format 0>
Mono Perc WSM-370
</example of format 0>


<example of format 1>
REC 345TP2S 72, REC 350TP2S 72
</example of format 1>


<example of format 2>
CSUN 375-72BMH-DG
</example of format 2>

Retrieve Module Model from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Module Model retrieved from the text in specified format:",0,,Module Model
Module Manufacturer,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Module Manufacturer from the text in this format.
Examples of data and format:
<example of format 0>
REC
</example of format 0>


<example of format 1>
Waaree
</example of format 1>


<example of format 2>
CSUN Solar
</example of format 2>

Retrieve Module Manufacturer from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Module Manufacturer retrieved from the text in specified format:",0,,Module Manufacturer
Module Wattage,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Module Wattage from the text in this format.
Examples of data and format:
<example of format 0>
370 Wp
</example of format 0>


<example of format 1>
345 Wp, 350 Wp
</example of format 1>


<example of format 2>
375 Wp
</example of format 2>

Retrieve Module Wattage from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Module Wattage retrieved from the text in specified format:",0,Wp,Module Wattage
Module Quantity,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Module Quantity from the text in this format.
Examples of data and format:
<example of format 0>
8670
</example of format 0>


<example of format 1>
216, 432
</example of format 1>


<example of format 2>
3744
</example of format 2>

Retrieve Module Quantity from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Module Quantity retrieved from the text in specified format:",0,,Module Quantity
Inverter Model,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Inverter Model from the text in this format.
Examples of data and format:
<example of format 0>
Sunny Tripower_Core1 62-US-41
</example of format 0>


<example of format 1>
CPS SCA50KTL-DO/US-480 V2.0
</example of format 1>


<example of format 2>
CSI-66KTL-GS, CSI-60KTL-GS
</example of format 2>

Retrieve Inverter Model from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Inverter Model retrieved from the text in specified format:",0,,Inverter Model
Inverter Manufacturer,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Inverter Manufacturer from the text in this format.
Examples of data and format:
<example of format 0>
Canadian Solar Inc
</example of format 0>


<example of format 1>
SMA
</example of format 1>


<example of format 2>
Chint Power Systems
</example of format 2>

Retrieve Inverter Manufacturer from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Inverter Manufacturer retrieved from the text in specified format:",0,,Inverter Manufacturer
Inverter Wattage,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Inverter Wattage from the text in this format.
Examples of data and format:
<example of format 0>
66 kWac, 60 kWac
</example of format 0>


<example of format 1>
50 kWac
</example of format 1>


<example of format 2>
62.5 kWac
</example of format 2>

Retrieve Inverter Wattage from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Inverter Wattage retrieved from the text in specified format:",0,kWac,Inverter Wattage
Inverter Quantity,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.
3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Inverter Quantity from the text in this format.
Examples of data and format:
<example of format 0>
3
</example of format 0>


<example of format 1>
37, 1
</example of format 1>


<example of format 2>
20
</example of format 2>

Retrieve Inverter Quantity from the text in specified format.
<text to retrieve information from>
{text}
</text to retrieve information from>
Inverter Quantity retrieved from the text in specified format:",0,,Inverter Quantity
