Key Items,Instructions,Definitions
Lessor (Landlord) Entity Name,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Lessor (Landlord) Entity Name from the text in this format:
<example>
Text:
```
THIS SOLAR LEASE (this “Lease”) is made and entered into as of July 22, 2020 (the “Effective Date”), by and between MARSHFIELD AGRICULTURAL & HORTICULTURAL SOCIETY, a Massachusetts not-for-profit corp...
```
Data retrieved:
MARSHFIELD AGRICULTURAL & HORTICULTURAL SOCIETY</example>


<example>
Text:
```
Mount Kemble Morristown, LLC, a Delaware limited liability company, (ii) Norte Investments, LLC, a Delaware limited liability company, and (iii) Mount Kimble LLC, a Delaware limited liability company...
```
Data retrieved:
Mount Kemble Morristown, LLC, Norte Investments, LLC,  and Mount Kimble LLC</example>


<example>
Text:
```
Between Sunvestment Energy Group NY 64, LLC, a New York limited liability company (“Lessee”), and Lakeville Village, Inc., a New York non-profit cooperative corporation (“Lessor”). Each of Lessor and ...
```
Data retrieved:
Lakeville Village, Inc.</example>

",The individual or entity who holds title to the property and is leasing to REA controlled entity
Lessee (Tenant) Entity Name,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Lessee (Tenant) Entity Name from the text in this format:
<example>
Text:
```
By and between HEELSTONE LAND HOLDINGS, LLC, a Delaware limited liability company (the “Landlord”) and 233 RANDOLPH 74 SOLAR I,
LLC, a North Carolina limited liability company (the “Tenant”)....
```
Data retrieved:
233 Randolph 74 Solar I LLC</example>


<example>
Text:
```
By and between PWH Properties, LLC (""Owner""), and Canton G LC Solar, LLC a Maine limited liability company (""Tenant"")....
```
Data retrieved:
Canton GLC Solar, LLC</example>


<example>
Text:
```
Solops, LLC, a New Jersey limited liability company...
```
Data retrieved:
Solops, LLC</example>

",The individual that is renting the property and pays fee to the Landlord
Effective Date,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Effective Date from the text in this format:
<example>
Text:
```
This SYSTEM SITE LEASE AGREEMENT (this “Agreement”’) is made and entered into as of August 10, 2018 (the “Effective Date”)...
```
Data retrieved:
August 10, 2018</example>


<example>
Text:
```
THIS SITE LEASE AGREEMENT), (“Leasé”)) is made and entered into as of this 30 day of September 2019 (the ""Effective Date"")...
```
Data retrieved:
September 30, 2019</example>


<example>
Text:
```
THIS GROUND LEASE AGREEMENT (this “Lease”) is made and entered into as of the 4th day of February, 2016 (the “Effective Date”)....
```
Data retrieved:
February 4, 2016</example>

",Effective Date is the date that the agreement goes into effect; Escalator is an increase in price over the term of the agreement
Property Size,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Property Size from the text in this format:
<example>
Text:
```
1. Hereby demises and leases to Tenant, and Tenant hereby leases from Owner, for the purposes described herein, ±19.9 acres thereof (the ""Premises""),...
```
Data retrieved:
±19.9 acres</example>


<example>
Text:
```
Owner owns a parcel of real property located in the vicinity of “0” Lake Street, Plympton, Massachusetts, being identified on the Town of Plympton’s Tax Map 3 as Lot 3-2-8 comprising approximately 108...
```
Data retrieved:
108.9 acres</example>


<example>
Text:
```
Section ""Description of Lease Area"" The above described lease area contains an area of 1,059, 717±s.f. (24.33 acres)...
```
Data retrieved:
24.33 acres</example>

",The acreage or similarly defined size of the land that is the object of the lease agreement between Landlord and and Tenant
Initial Term,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Initial Term from the text in this format:
<example>
Text:
```
2. The operating term of this Agreement (the ""Operations Term"") shall be twenty (20) years, commencing on the date that Central Maine Power (""CMP"") issues the Permission to Operate (PTO) or the final ...
```
Data retrieved:
20 years beginning on the date the Permission to Operate was issued</example>


<example>
Text:
```
I.D.1.. The term (“Term”) of this Lease shall commence on the Effective Date and end on the Year 25 Termination Date or on such earlier date as this Lease may be terminated in accordance with the prov...
```
Data retrieved:
Begins on the Effective Date (September 30,2019)  and extends 25 years.)</example>


<example>
Text:
```
2. The term of this Agreement (together with extensions thereof, the “Term”) shall be twenty (20) years (the “Initial Term”), commencing on the date on which Tenant obtains all necessary permits or au...
```
Data retrieved:
20 years from Commencement Date or COD</example>

",The length of the Site Lease
Rent Commencement,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Rent Commencement from the text in this format:
<example>
Text:
```
“Rent Commencement Date” shall mean when (a) the Solar Operations is mechanically complete and operating, (b) electrical output is delivered to the grid or a utility provider under local and state reg...
```
Data retrieved:
Commercial Operation Date</example>


<example>
Text:
```
Commencing on the Effective Date, until the Commercial Operation Date, Tenant shall pay the Landlord...
```
Data retrieved:
Effective Date</example>


<example>
Text:
```
3 On the date on which Lessee obtains all necessary permits or authorizations from the utility providers to operate the Project and to sell electricity (""Commencement Date"")....
```
Data retrieved:
Commercial Operation Date</example>

",The date of the first payment. When the lease commitment officially starts
Renewal Terms,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Renewal Terms from the text in this format:
<example>
Text:
```
2.2.1 Lessee shall have, at Lessee’s sole discretion, two options to extend the Term for a period of Five (5) years each. Such requests for extension by the Lessee shall occur not less than Ninety (90...
```
Data retrieved:
Two (2) additional five (5) year periods with written notice Ninety (90) days prior to the expiration</example>


<example>
Text:
```
2. Tenant shall have three (3) options to extend this Lease, each option being for a tenn of five (5) years (each, a ""Renewal Term""). Tenant shall exercise such extension option, if at all, by giving ...
```
Data retrieved:
Three (3) additional five (5) year periods with written notice ninety (90) days prior to the expiration</example>


<example>
Text:
```
3b. Tenant shall be entitled to renew this Lease for Two (2) additional and consecutive periods of five (5) years each (“Renewal Period”) by providing written notice to Landlord of its intent to so re...
```
Data retrieved:
Two( 2) additional five (5) year periods with written notice sixty (60) days prior to the expiration</example>

",Ability to extend the Lease beyond initial term without having to amend the Lease
Rent Calculation,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Rent Calculation from the text in this format:
<example>
Text:
```
Beginning on the Rent Commencement Date, annual rent shall equal One Thousand and 00/100 Dollars ($1,000.00) (the “Lease Rate”) of the Net Acreage...
```
Data retrieved:
$1,000 per acre per year</example>


<example>
Text:
```
4. Rent shall be calculated as two thousand five hundred and 00/100 dollars ($2,500.00) per acre per annum during the Lease Term with an escalator of 1% per annum....
```
Data retrieved:
$2,500 per acre per year</example>


<example>
Text:
```
3a.  Rent
Block 1 $7,000 per acre per year
Block 2 $6,500 per acre per year
Block 3 $6,000 per acre per year
Block 4 $5,500 per acre per year
Block 5 $5,000 per acre per year
Block 6-8 $4,500 pe...
```
Data retrieved:
See Section 3a.</example>

",Price
Rent Amount,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Rent Amount from the text in this format:
<example>
Text:
```
4. Rent shall be calculated as two thousand five hundred and 00/100 dollars ($2,500.00) per acre per annum during the Lease Term with an escalator of 1% per annum....
```
Data retrieved:
Two thousand five hundred thousand and 00/100 dollars ($2,500.00)
per acre per annum with an annual escalator of I% per annum.</example>


<example>
Text:
```
5a. Commencing on the first day of the first full month following the Commercial Operation Date (“Rent Commencement Date”) and continuing thereafter during the Term, Tenant shall pay Landlord rent in ...
```
Data retrieved:
$89,500 per year</example>


<example>
Text:
```
Section 3. BaseRent. Starting on the Commencement Date, Tenant shall pay to Owner an annual baserent(""AnnualRent"")assetforthbelow. ExceptasotherwisespecificallyprovidedinthisLease,all rent shall be pa...
```
Data retrieved:
-Annual Rent for the first year shall be $49,020
-Annual Rent for Year 2: $50,000
-Annual Rent for Years 3-20: Previous year Annual Rent increased by 2%</example>

",How much Lessee is required pay to Lessor to lease the property
Payment Terms,"1. You have a task for due diligence company, working with solar projects. 
* As a due diligence manager you will need to build a project preview for th Solar Project.
* Preview contains Legal Terms and Short Values.
* Legal Terms are the terms that are used in the contract. Direct citations from the contract.
2. Your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

3. I want you to putput only the Short Values for the Legal Terms. 
* Avoid any unnecessary comments or explanations.
* You will be provided with couple of examples for each Legal Term. 
* You will need to extract the Short Value from the Legal Terms in the same format as in the examples. 
* Then you will need to provide the Short Value for the Legal Terms for tha actual case.
* Avoid adding to you output such things as: ""<actual_case>"", ""Text:"", ""```"", ""Data retrieved:"", Legal Terms itself

Retrieve Payment Terms from the text in this format:
<example>
Text:
```
2.3 During the Development period, Lessee shall pay to Lessor, as rent, One ($1.00) Dollar per year. During the Operating Term, Lessee shall pay to Lessor, as rent, Seventeen Thousand ($17,000.00) Dol...
```
Data retrieved:
Annual</example>


<example>
Text:
```
II. A. 1b. Commencing on the Commercial Operation Date, Tenant shall pay the Landlord the Base Rent in equal monthly  installments, equal to the amount, set forth in Section IL.A.1a of this Lease, of ...
```
Data retrieved:
Monthly
Annually</example>


<example>
Text:
```
Commencing on the Commercial Operation Date, Tenant shall pay the Landlord the Base Rent in equal monthly installments, equal to the amount, set forth in Section II.A.1a of this Lease, of the Base Ren...
```
Data retrieved:
Monthly installments</example>

",Amount owed for annual lease payments
