Key Items,Instructions,Definitions
Effective Date,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Effective Date from the text in this format:
<example>
Text:
```
3.1- Effective upon execution...
```
Data retrieved:
October 1, 2015</example>


<example>
Text:
```
IN WITNESS WHEREOF, the Parties have caused this Agreement to be signed by their respective duly authorized representatives.
...
```
Data retrieved:
August 8, 2019</example>


<example>
Text:
```
1.1	This Agreement shall become effective when executed by both Parties and shall continue in effect until terminated....
```
Data retrieved:
August 16, 2019</example>

",The date in which the agreement is deemed effective
Interconnection Utility Company,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Interconnection Utility Company from the text in this format:
<example>
Text:
```
This Interconnection Agreement (""Agreement"") is made and entered into this 8th day of August, 2019, by Jersey Central Power & Light Company, (""Electric Distribution Company"" or ""JCP&L""), and Mount Kem...
```
Data retrieved:
Jersey Central Power & Light Company (""JCP&L"")</example>


<example>
Text:
```
This Agreement is made and entered into this 9th day of November 2020 by and between PWH Properties LLC, (""Interconnection Customer"") located at 35 Edmunds Road, Canton, Maine, and Central Maine Power...
```
Data retrieved:
Central Maine Power Company</example>


<example>
Text:
```
Duke Energy Carolinas, LLC...
```
Data retrieved:
Duke Energy Carolinas, LLC</example>

",The provider that allows you to connect to the grid
Interconnection Customer,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Interconnection Customer from the text in this format:
<example>
Text:
```
This Interconnection Agreement (""Agreement"") is made and entered into this 8th day of August, 2019, by Jersey Central Power & Light Company, (""Electric Distribution Company"" or ""JCP&L""), and Mount Kem...
```
Data retrieved:
Mount Kemble Morristown</example>


<example>
Text:
```
This Agreement is made and entered into this 9th day of November 2020 by and between PWH Properties LLC, (""Interconnection Customer"") located at 35 Edmunds Road, Canton, Maine, and Central Maine Power...
```
Data retrieved:
PWH Properties LLC</example>


<example>
Text:
```
233 Randolph 74 Solar I, LLC...
```
Data retrieved:
233 Randolph 74 Solar I, LLC</example>

",The owner of the project wanting to provide power and connect to the grid
Nameplate Capacity (System Size),"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Nameplate Capacity (System Size) from the text in this format:
<example>
Text:
```
Exhibit 9- 3.00 MW...
```
Data retrieved:
3.00 MW</example>


<example>
Text:
```
A nameplate capacity of 2 MW or less...
```
Data retrieved:
2 MW</example>


<example>
Text:
```
2.6 - 592.47 kW...
```
Data retrieved:
592.47 kW</example>

",Size of the solar project
Nameplate Capacity Limits,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Nameplate Capacity Limits from the text in this format:
<example>
Text:
```
Interconnection Requirements for new distributed generation units with a nameplate capacity of 2 MW or less...
```
Data retrieved:
Not to exceed 2 MW</example>


<example>
Text:
```
Interconnection Customer is proposing to develop a Small Generator Facility, consisting of 3.000 MW of photovoltaic (PV), limited to 3.000 MW of total export,...
```
Data retrieved:
Not to exceed 3 MW</example>

",The limits of the system size -- not to exceed amount
Term,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Term from the text in this format:
<example>
Text:
```
1.1	Term: This Agreement shall become effective when executed by both Parties and shall continue in effect until terminated....
```
Data retrieved:
Perpetual</example>


<example>
Text:
```
14.1 - becomes effective when signed by both parties and shall remain in effect thereafter from month to month unless terminated by either party on 30 days' prior written notice in accordance with Sec...
```
Data retrieved:
The agreement becomes effective when signed by both parties and shall remain in effect unless terminated by either party on 30 days' prior written notice</example>


<example>
Text:
```
3.2 This Agreement shall become effective on the Effective Date and shall remain in effect for a period of ten years from the Effective Date or such other longer period as the Interconnection Customer...
```
Data retrieved:
10 years from October 1, 2015. Auto renewed annually</example>

",Defined terms in an agreement
Mechanical Completion Date,"Retrieve Mechanical Completion Date from the text.
Definitions: Mechanical Completion Date - Date by which system must be mechanically complete in the IA.(should be calendared with at least one month out as a tickler).
",Date by which system must be mechanically complete in the IA.(should be calendared with at least one month out as a tickler)
Commercial Operation Date,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Commercial Operation Date from the text in this format:
<example>
Text:
```
2.8 - anticipated 4/30/21...
```
Data retrieved:
Anticipated 4/30/21</example>

",The date that the project is connected to the gird and able to sell power
Deadline to Interconnect Date,"Retrieve Deadline to Interconnect Date from the text.
Definitions: Deadline to Interconnect Date - Date by which system must be interconnected, tested and have permission to operate (should be calendared with a tickler out at least three months).
","Date by which system must be interconnected, tested and have permission to operate (should be calendared with a tickler out at least three months)"
Amendments and/or Assignments,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Amendments and/or Assignments from the text in this format:
<example>
Text:
```
The Parties may amend this Agreement by a written instrument duly executed by
both Parties....
```
Data retrieved:
Section 9.2</example>


<example>
Text:
```
24)	Amendments: There will be no changes or amendments to this form of Agreement unless specifically agreed to by all Parties in writing prior to the interconnection application being deemed complete....
```
Data retrieved:
Amendments if agreed to by both parties and only necessary due to status of customer as public entity</example>


<example>
Text:
```
11.5 - neither Party may assign without the prior written consent of the other Party...
```
Data retrieved:
11</example>

","Amendments (i.e. formally agreed upon changes to the agreement between the parties) and/or transfers of rights, duties, and interests of the agreement to other parties"
Default by Provider,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Default by Provider from the text in this format:
<example>
Text:
```
6.6.1 No Default shall exist where such failure to discharge an obligation (other than the payment of money) is the result of a Force Majeure Event as defined in this Agreement, or the result of an ac...
```
Data retrieved:
6.6</example>


<example>
Text:
```
7.6.1	No Default shall exist where such failure to discharge an obligation (other than the payment of money) is the result of a Force Majeure Event as defined in this Agreement or the result of an act...
```
Data retrieved:
Section 7.6</example>

",Provider's failure to fulfill its key obligations under the agreement
Default by Customer,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Default by Customer from the text in this format:
<example>
Text:
```
7.6.1	No Default shall exist where such failure to discharge an obligation (other than the payment of money) is the result of a Force Majeure Event as defined in this Agreement or the result of an act...
```
Data retrieved:
Section 7.6</example>


<example>
Text:
```
6.6.1 No Default shall exist where such failure to discharge an obligation (other than the payment of money) is the result of a Force Majeure Event as defined in this Agreement, or the result of an ac...
```
Data retrieved:
6.6</example>

",Customer's failure to fulfill its key obligations under the agreement
