Key Items,Definitions
Effective Date,The date when the agreement officially takes effect and becomes enforceable.
Provider,The company or individual providing maintenance and operational services for the solar facility.
Customer,"The entity, typically the solar facility owner, receiving the services outlined in the agreement."
Commencement Date,The specific start date when the provider is expected to begin delivering the services.
Utility Company,The regulated entity that provides utility service to the location where the solar facility is connected.
Term,"The duration of the agreement, usually specified in months or years."
Renewal,"The option to extend the agreement's term beyond the initial period, under pre-defined conditions."
Maintenance Service Fee,The fee charged by the provider for carrying out maintenance and operational tasks.
Escalator,"An annual increase in the maintenance service fee, usually a percentage, to account for inflation or increased costs."
Payment Terms,The agreed-upon schedule and method of payments from the customer to the provider.
Services Warranty Terms,"The conditions under which services are guaranteed, including what is covered and for how long."
Year 1 Production,The projected electrical output of the solar facility in the first year of operation.
Production Guarantee,A promise by the provider to achieve a minimum level of production.
Production Guarantee Term,The duration over which the production guarantee is valid.
Production Estimate - Definition,"An estimate of the solar facility’s production capacity, often used for planning and comparison."
Degradation,The decrease in the solar facility's output capacity over time due to wear and tear.
Production Factor,A coefficient used to adjust the expected production based on actual conditions.
Adjustments - Production Loss,"Modifications made to account for production not achieved due to specific, agreed-upon factors."
Statement of Guarantee,A formal declaration by the provider detailing the guarantees provided.
Production Shortfall Rate,The rate at which compensation is calculated for production falling below the guaranteed level.
Guarantee Limitations,Restrictions and exclusions applied to the production guarantee.
Reporting (Proactive and Reactive),"The frequency and method by which performance reports are provided, both regularly and in response to issues."
Insurance Requirements,"Specifications for insurance coverage required by the agreement, often detailing type and amount."
Termination - Provider,Conditions under which the provider can terminate the agreement.
Termination - Customer,Conditions under which the customer can terminate the agreement.
Termination - Maximum Liability,The maximum amount for which a party can be liable upon termination.
Default - Provider,"Situations constituting a failure to meet obligations by the provider, potentially leading to termination."
Default - Customer,"Situations constituting a failure to meet obligations by the customer, potentially leading to termination."
Assignment - Provider,The provider's right to transfer obligations and rights under the agreement to another entity.
Assignment - Customer,The customer's right to transfer the agreement to another entity without provider's consent.
Force Majeure,An unforeseeable event that prevents either party from fulfilling their contractual obligations.
Prevailing Party,The party awarded expenses or damages in the event of a legal dispute.
Nameplate Capacity,The maximum power output rating provided by the manufacturer of the solar equipment.
Liens,Legal claims or encumbrances on the property or equipment.
PPA Net Energy Rate,The rate paid for electricity generated by the solar facility under a Power Purchase Agreement.
Summary of Economic Terms,"An overview of financial aspects related to the agreement, including fees, rates, and payment schedules."
Scope & Services,The detailed list of services the provider is contracted to perform.
Noncovered Service - Rate Schedule,"Services not included within the scope of the agreement, potentially subject to additional charges."
Workflow Questions,""
Compare against PVSYST,""
"Co-terminus with PPA, lease, etc.",""
